assunto_fake;keywords;site
Chá de limão com bicarbonato quente cura coronavírus;limão AND bicarbonato;https://www.saude.gov.br/component/tags/tag/novo-coronavirus-fake-news?limitstart=0
Beber muita água e fazer gargarejo com água morna, sal e vinagre previne coronavírus;gargarejo AND sal AND vinagre ;https://www.saude.gov.br/component/tags/tag/novo-coronavirus-fake-news?limitstart=0
Vitamina C + zinco e o novo coronavírus;vitamina C;https://www.saude.gov.br/component/tags/tag/novo-coronavirus-fake-news?limitstart=0
Ivermectina tem eficácia comprovada contra a Covid;ivermectina;https://www.sanarmed.com/fake-news-ivermectina-e-a-cura-contra-a-covid-19
Beber água quente mata o coronavírus;água quente;https://www.saude.gov.br/component/tags/tag/novo-coronavirus-fake-news?limitstart=0
Receita de coco que cura coronavírus;coco AND cura;https://www.saude.gov.br/component/tags/tag/novo-coronavirus-fake-news?limitstart=2
Coronavírus veio dos animais;animais OR morcego;https://www.saude.gov.br/component/tags/tag/novo-coronavirus-fake-news?limitstart=3
Chá de abacate com hortelã previne coronavírus;abacate AND hortelã;https://www.saude.gov.br/component/tags/tag/novo-coronavirus-fake-news?limitstart=4
Semelhança do vírus HIV com o coronavírus;HIV;https://www.saude.gov.br/component/tags/tag/novo-coronavirus-fake-news?limitstart=5
Novo coronavírus causa pneumonia de imediato;pneumonia AND imediato;https://www.saude.gov.br/component/tags/tag/novo-coronavirus-fake-news?limitstart=6
Óleos para combater coronavírus;óleos;https://www.saude.gov.br/component/tags/tag/novo-coronavirus-fake-news?limitstart=7
Vitamina D e a prevenção do novo coronavírus;vitamina D;https://www.saude.gov.br/component/tags/tag/novo-coronavirus-fake-news?limitstart=8
